Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
THE EDEN AT TAMPINES,29 Tampines Street 34  #06-27 ,1,116,Strata,650000,-,5603,521,25-Jun-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529236,East Region,Tampines
EASTVALE,39 Pasir Ris Drive 3  #01-02 ,1,147,Strata,720000,-,4898,455,25-Jun-09,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,HDB,18,51,519495,East Region,Pasir Ris
SIMEI GREEN CONDOMINIUM,9 Simei Street 4  #06-02 ,1,111,Strata,658000,-,5928,551,24-Jun-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529865,East Region,Tampines
THE EDEN AT TAMPINES,35 Tampines Street 34  #03-38 ,1,112,Strata,615000,-,5491,510,22-Jun-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529239,East Region,Tampines
THE EDEN AT TAMPINES,21 Tampines Street 34  #07-06 ,1,116,Strata,630000,-,5431,505,22-Jun-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529232,East Region,Tampines
EASTVALE,37 Pasir Ris Drive 3  #03-01 ,1,102,Strata,603900,-,5921,550,22-Jun-09,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,HDB,18,51,519494,East Region,Pasir Ris
THE EDEN AT TAMPINES,27 Tampines Street 34  #07-23 ,1,116,Strata,640000,-,5517,513,21-Jun-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529235,East Region,Tampines
SIMEI GREEN CONDOMINIUM,7 Simei Street 4  #04-08 ,1,126,Strata,715000,-,5675,527,19-Jun-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529864,East Region,Tampines
THE EDEN AT TAMPINES,21 Tampines Street 34  #05-05 ,1,116,Strata,656000,-,5655,525,18-Jun-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529232,East Region,Tampines
SIMEI GREEN CONDOMINIUM,15 Simei Street 4  #10-03 ,1,90,Strata,530000,-,5889,547,15-Jun-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529868,East Region,Tampines
SIMEI GREEN CONDOMINIUM,5 Simei Street 4  #06-01 ,1,128,Strata,700000,-,5469,508,11-Jun-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529863,East Region,Tampines
THE EDEN AT TAMPINES,29 Tampines Street 34  #07-27 ,1,116,Strata,630000,-,5431,505,9-Jun-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529236,East Region,Tampines
THE EDEN AT TAMPINES,33 Tampines Street 34  #05-34 ,1,115,Strata,650000,-,5652,525,3-Jun-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529238,East Region,Tampines
EASTVALE,35 Pasir Ris Drive 3  #08-01 ,1,223,Strata,850000,-,3812,354,2-Jun-09,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,Private,18,51,519493,East Region,Pasir Ris
THE EDEN AT TAMPINES,25 Tampines Street 34  #04-20 ,1,80,Strata,480000,-,6000,557,2-Jun-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529234,East Region,Tampines
SIMEI GREEN CONDOMINIUM,1 Simei Street 4  #04-04 ,1,116,Strata,620000,-,5345,497,1-Jun-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529861,East Region,Tampines
THE EDEN AT TAMPINES,25 Tampines Street 34  #01-15 ,1,138,Strata,701000,-,5080,472,31-May-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529234,East Region,Tampines
SIMEI GREEN CONDOMINIUM,15 Simei Street 4  #05-01 ,1,128,Strata,720000,-,5625,523,29-May-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529868,East Region,Tampines
SIMEI GREEN CONDOMINIUM,7 Simei Street 4  #07-06 ,1,90,Strata,505000,-,5611,521,29-May-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529864,East Region,Tampines
THE EDEN AT TAMPINES,35 Tampines Street 34  #09-39 ,1,126,Strata,718000,-,5698,529,28-May-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,Private,18,52,529239,East Region,Tampines
